Id,MSSubClass,MSZoning,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice
60,4,3,241,16,4,3,44,7,61,1,2,2,3,76,135,103,173,144,0,1,2,0,27,1,34,124900
61,4,3,401,12,5,2,85,43,61,1,5,3,3,263,499,604,173,226,0,2,3,0,94,2,127,158000
62,3,1,241,1,4,3,13,51,61,1,1,2,2,302,35,41,115,64,0,0,4,0,36,1,37,101000
63,6,3,722,23,7,2,102,57,226,2,5,3,4,436,506,483,173,441,2,2,4,1,94,2,171,202500
64,3,1,310,5,6,2,45,1,61,1,1,2,3,302,66,226,156,648,2,1,8,0,75,2,94,140000
65,7,3,863,16,6,2,89,48,190,1,5,3,3,336,316,350,278,621,2,2,7,0,78,2,195,219500
66,7,3,967,23,7,2,85,50,249,2,5,4,3,302,535,691,368,789,2,2,8,1,79,4,394,317000
67,4,3,591,10,6,2,33,44,120,1,2,3,3,355,362,397,173,458,2,1,5,1,44,2,127,180000
68,4,3,805,16,6,2,96,42,198,2,5,3,3,482,546,514,173,474,2,2,5,0,85,2,283,226000
69,0,1,21,5,3,2,30,1,61,1,2,2,3,302,86,10,173,17,0,1,2,0,16,1,15,80000
70,4,3,801,18,6,1,51,21,61,2,2,2,3,480,438,559,264,636,2,1,5,1,40,2,278,225000
71,4,3,869,10,6,2,40,15,224,1,2,3,3,508,557,609,173,686,2,1,7,2,27,2,96,244000
72,4,3,230,11,3,2,29,57,61,1,2,2,3,394,328,54,173,76,0,1,2,0,59,2,63,129500
73,7,3,620,14,6,2,92,48,189,1,5,3,3,302,281,423,178,737,2,1,5,1,78,2,187,185000
74,4,3,334,10,4,3,41,42,35,1,2,2,3,184,417,474,173,308,0,1,4,0,69,2,151,144900
75,4,1,85,5,2,2,31,1,61,2,2,1,3,302,190,173,102,78,2,1,7,0,15,1,17,107400
76,1,1,44,0,3,2,40,15,61,1,2,3,3,191,22,25,11,149,0,1,3,0,27,1,39,91000
77,4,3,279,10,3,3,36,5,61,1,2,2,3,128,317,230,173,180,0,1,2,0,10,1,60,135750
78,4,1,209,3,4,2,38,41,61,1,2,2,3,83,65,263,62,206,0,1,4,0,23,1,54,127000
79,2,3,286,6,3,2,73,24,61,1,2,2,3,302,132,157,173,505,2,1,7,0,2,0,12,136500
80,4,1,554,5,4,2,11,35,61,1,5,2,3,302,28,60,30,111,0,1,3,0,50,2,113,110000
81,7,3,675,10,5,2,73,24,148,1,2,3,3,408,299,646,231,528,2,2,7,1,60,1,210,193500
82,6,1,467,11,5,2,92,48,57,1,5,4,4,492,498,369,173,426,2,1,3,0,78,2,101,153500
83,4,3,478,19,7,2,103,56,225,1,5,3,3,509,561,613,173,690,2,2,4,1,89,4,388,245000
84,4,3,162,10,4,2,66,19,192,1,2,2,3,302,433,343,173,150,0,1,4,0,52,2,81,126500
85,3,3,511,14,6,2,105,51,92,1,5,3,3,302,266,349,155,395,2,1,5,1,91,2,105,168500
86,7,3,900,24,7,2,80,33,241,2,2,3,3,302,583,407,335,717,2,2,8,1,66,2,146,260000
87,7,3,548,14,5,2,97,50,61,2,5,3,3,302,107,136,399,492,2,2,4,1,82,2,105,174000
88,2,2,484,19,5,2,106,59,78,2,5,3,3,302,332,335,169,269,2,2,2,0,95,2,87,164500
89,4,0,33,1,2,0,31,4,61,0,2,2,2,302,125,17,173,104,0,0,4,0,2,0,12,85000
90,4,3,176,16,3,2,100,47,61,1,5,3,3,166,139,212,173,221,0,1,3,0,2,0,12,123600
91,4,3,241,10,3,2,22,1,61,1,0,0,1,302,40,97,173,120,0,1,2,0,31,2,90,109900
92,4,3,88,10,4,1,43,11,18,1,2,2,3,100,31,36,173,54,0,1,4,0,33,2,94,98600
93,0,3,479,17,4,3,45,57,61,1,1,3,3,289,114,192,173,370,0,1,3,0,22,2,133,163500
94,1,0,241,5,5,2,11,48,61,1,1,2,2,123,140,143,80,471,2,1,8,1,19,2,199,133900
95,7,3,731,16,5,2,89,52,61,1,5,3,3,352,448,502,254,619,2,2,5,0,76,2,114,204750
96,7,3,621,14,5,3,90,55,132,3,5,3,4,375,104,424,214,378,2,1,4,1,84,2,90,185000
97,4,3,761,16,6,2,86,46,125,2,5,3,3,456,505,551,173,519,2,2,4,0,74,2,228,214000
98,4,3,53,4,3,2,55,18,6,1,2,2,3,20,48,140,173,115,0,1,4,0,46,1,133,94750
99,0,3,693,4,4,2,13,1,61,1,1,2,3,5,15,15,173,25,0,1,3,0,3,1,5,83000
100,4,3,224,10,3,2,56,13,61,1,2,2,3,214,81,110,173,165,0,1,4,0,2,0,12,128950
101,4,3,733,13,5,3,74,41,165,1,5,2,3,414,460,641,173,571,2,2,4,2,61,2,94,205000
102,7,3,579,12,5,2,81,32,197,2,2,3,3,302,344,385,112,444,2,2,5,1,54,2,159,178000
103,2,3,259,12,4,2,58,23,61,1,0,0,1,302,40,234,173,304,2,1,7,0,42,2,69,118964
104,4,3,703,16,6,2,106,59,61,1,5,3,3,302,437,420,173,549,2,2,4,0,95,4,224,198900
105,4,1,404,1,6,1,21,1,96,1,5,2,3,312,158,420,170,400,0,1,5,2,32,1,54,169500
106,7,2,863,19,7,2,96,43,231,2,5,4,3,302,402,440,323,697,2,2,8,1,85,2,268,250000
107,0,1,454,5,3,3,9,47,61,1,1,1,3,302,32,38,173,56,0,1,4,0,30,1,10,100000
108,4,1,124,5,4,2,38,1,61,1,2,2,3,40,54,50,173,72,0,1,3,0,23,1,9,115000
109,4,1,88,1,4,3,57,50,61,1,2,2,3,302,248,316,31,411,2,0,5,0,2,0,12,115000
110,4,3,653,13,5,2,74,28,166,1,2,3,3,399,513,556,173,631,2,1,5,1,61,2,288,190000
111,4,3,321,4,5,1,41,7,61,1,2,2,2,255,172,375,92,361,2,1,5,0,30,1,62,136900
112,3,3,560,14,6,2,87,38,61,1,5,3,3,162,266,310,185,450,2,1,5,1,77,2,105,180000
113,7,3,1049,16,6,2,103,56,210,2,5,4,3,609,661,725,402,829,2,3,10,1,89,4,324,383970
114,4,3,775,17,5,2,51,21,211,1,2,3,3,465,492,542,173,615,2,2,5,2,40,2,76,217000
115,3,3,898,17,5,3,30,53,61,1,2,2,3,525,591,583,319,602,2,2,8,1,16,1,111,259500
116,2,2,551,19,5,2,86,46,112,1,5,3,3,268,326,145,200,214,2,1,3,1,74,2,113,176000
117,4,3,389,6,4,2,50,20,91,1,2,2,3,145,275,272,173,59,0,1,4,1,29,1,37,139000
118,4,3,426,4,4,2,102,56,61,1,5,3,3,302,225,174,173,234,0,1,3,0,89,2,227,155000
119,7,3,996,12,6,2,94,45,61,1,5,3,3,584,657,612,384,790,3,2,11,2,75,4,398,320000
120,7,3,481,16,5,2,97,57,61,2,5,3,3,302,349,357,168,373,2,2,7,1,82,2,220,163990
121,3,3,592,18,5,2,63,26,61,1,2,2,3,356,229,162,173,149,0,1,2,2,57,2,183,180000
122,4,1,62,1,3,2,53,1,61,1,5,2,3,302,210,39,17,57,0,1,2,0,42,1,30,100000
123,4,3,283,10,5,3,48,8,87,1,2,2,3,167,363,289,173,215,0,1,3,0,25,1,37,136000
124,6,3,206,12,5,2,90,55,61,2,5,3,3,365,323,246,173,316,2,2,3,0,84,2,182,153900
125,4,3,601,13,5,2,58,48,61,1,2,3,2,302,401,402,173,465,2,1,5,1,42,2,178,181000
126,1,1,29,1,5,3,65,4,61,1,2,2,3,222,45,76,173,27,0,1,3,0,2,0,12,84500
127,6,3,280,9,5,2,70,31,61,1,2,3,3,131,180,193,173,245,2,1,3,1,61,2,113,128000
128,0,1,38,5,4,3,3,1,61,1,1,2,3,12,65,173,173,34,0,1,3,1,2,0,12,87000
129,7,3,475,10,5,2,62,22,123,1,2,2,3,248,197,276,85,211,0,1,4,1,50,2,130,155000
130,4,3,398,10,4,3,48,36,100,1,2,2,3,281,113,440,173,284,0,3,4,0,78,2,303,150000
131,7,3,806,10,6,2,62,22,199,1,2,2,3,483,285,375,266,640,2,2,7,2,50,2,203,226000
132,7,3,870,14,5,2,87,38,189,2,5,3,3,418,452,330,202,687,2,2,5,1,77,2,220,244000
133,4,3,402,10,4,2,56,53,61,1,2,2,3,81,435,235,173,305,0,2,5,0,52,2,117,150750
134,4,3,782,21,7,2,99,53,76,2,5,4,3,419,501,254,173,325,2,2,4,0,90,2,255,220000
135,4,3,667,6,4,2,73,55,61,1,2,2,3,167,341,398,173,516,2,1,5,1,60,2,113,180000
136,4,3,630,13,6,2,33,16,117,1,5,2,3,302,438,365,173,490,2,1,5,1,44,2,182,174000
137,4,3,335,10,4,2,47,10,145,1,2,2,3,418,140,457,173,168,2,1,3,1,18,1,70,143000
138,2,3,524,11,6,2,84,44,186,1,2,2,3,302,312,345,173,617,3,1,8,0,69,4,147,171000
139,7,3,820,16,7,2,86,38,101,2,5,3,3,488,356,332,296,681,2,2,5,2,74,4,180,230000
140,7,3,827,16,5,2,89,52,61,1,5,3,3,340,264,240,301,657,2,2,5,0,76,2,226,231500
141,4,3,137,10,3,2,26,2,61,1,2,2,3,29,89,88,173,99,0,1,3,1,2,0,12,115000
142,4,3,814,16,6,2,97,50,61,2,5,3,3,538,694,729,173,612,2,2,5,0,82,2,180,260000
143,4,3,207,10,4,1,8,0,61,1,2,2,3,178,269,201,160,379,2,1,4,0,77,2,67,166000
144,4,3,667,16,6,2,86,46,125,2,5,3,3,440,457,500,173,475,2,2,4,0,74,2,249,204000
145,2,1,408,6,4,2,49,17,197,1,2,2,3,77,177,477,173,356,2,1,10,0,28,2,73,125000
146,2,1,250,4,5,2,85,57,24,2,5,3,3,302,152,134,119,469,2,2,5,0,79,2,164,130000
147,0,1,131,3,4,3,21,55,61,1,1,2,3,87,119,48,173,68,0,1,3,0,48,1,111,105000
148,7,3,791,14,6,2,99,41,83,2,5,3,3,302,242,382,286,630,2,2,7,1,90,2,242,222500
149,4,3,456,12,6,2,85,50,70,1,5,3,3,254,363,289,173,215,0,2,4,0,2,0,12,141000
150,4,1,298,3,4,1,39,1,61,1,1,3,3,302,299,100,61,200,0,1,5,0,39,1,54,115000
151,4,3,167,16,4,2,60,34,61,1,2,2,3,146,386,86,173,132,0,1,3,0,68,2,113,122000
152,4,3,1062,23,7,2,103,58,302,2,5,4,3,570,645,683,173,648,2,2,4,1,89,4,386,372402
153,7,3,957,13,5,2,26,2,141,1,2,2,3,400,243,300,229,508,2,1,7,1,43,2,122,190000
154,4,3,941,18,5,3,66,34,61,1,2,3,3,493,518,412,173,332,0,1,2,1,53,2,253,235000
155,0,1,177,5,5,2,61,1,61,1,1,2,3,302,262,302,173,319,0,1,5,0,67,1,82,125000
156,4,3,385,4,5,2,4,1,61,1,1,2,3,302,30,35,3,86,0,1,3,0,2,0,12,79000
157,4,3,241,10,4,3,22,1,61,1,2,0,1,302,40,97,173,120,0,1,3,0,31,2,68,109500
158,7,3,919,21,7,2,106,60,174,2,5,4,3,302,599,310,348,625,2,3,7,1,95,4,231,269500
159,7,2,889,19,6,2,85,50,61,2,5,3,3,521,397,623,329,711,2,2,7,1,79,2,310,254900
160,7,3,997,14,6,2,97,57,176,2,5,3,3,512,409,469,346,791,2,2,8,1,94,2,127,320000
161,4,3,476,20,5,2,71,37,61,1,5,3,3,236,346,387,173,446,2,1,4,0,64,2,96,162500
162,7,3,1051,23,8,2,96,43,316,2,5,4,3,550,640,676,405,838,2,3,10,2,85,4,423,412500
163,4,3,783,23,6,2,97,50,217,2,5,3,3,492,477,525,173,593,2,2,5,1,82,2,234,220000
164,0,3,135,5,3,2,36,5,61,1,2,2,3,302,50,163,173,66,0,1,2,0,2,0,12,103200
165,0,1,123,5,5,3,19,43,61,1,1,2,3,404,208,499,126,577,2,2,3,0,24,1,55,152000
166,1,3,215,4,4,3,28,46,61,1,1,2,3,421,97,214,67,158,2,1,4,0,2,0,12,127500
167,4,3,654,18,4,2,32,55,61,2,2,2,3,401,406,447,173,509,0,1,5,3,37,1,200,190000
168,7,3,1005,23,7,2,103,56,238,2,5,4,3,576,664,641,176,799,0,3,7,1,89,4,403,325624
169,7,3,613,14,6,2,85,43,61,2,5,3,3,302,190,173,343,597,2,2,5,1,79,2,113,183500
170,4,3,812,21,7,2,101,35,203,2,2,3,3,302,566,564,173,643,2,1,4,1,71,2,235,228000
171,4,1,221,5,4,2,16,1,61,1,2,2,3,101,59,121,173,320,0,1,5,0,66,2,180,128500
172,4,3,767,10,5,2,66,19,140,1,2,2,4,461,363,488,173,462,0,1,5,2,53,2,87,215000
173,2,3,850,22,6,3,82,49,61,2,5,3,4,66,265,593,248,672,2,2,3,1,59,2,73,239000
174,4,3,477,10,5,2,43,11,82,1,2,2,3,52,401,428,173,336,0,1,4,1,33,2,73,163000
175,4,3,615,21,5,2,88,39,111,1,2,3,2,371,380,417,173,479,2,1,5,1,65,2,184,184000
176,4,3,867,4,5,3,22,41,61,1,2,2,4,507,556,607,173,685,2,2,5,1,31,2,127,243000
177,7,3,752,18,5,2,84,44,233,2,5,3,3,395,474,462,229,594,2,1,7,1,73,2,214,211000
178,4,3,533,6,4,2,48,8,61,2,2,2,3,512,232,412,34,348,2,2,7,1,25,2,167,172500
179,4,3,1065,22,8,2,110,59,323,3,5,4,3,629,714,745,173,852,2,3,8,1,95,4,433,501837
180,0,1,207,5,4,2,61,57,61,2,2,2,3,302,33,24,173,9,0,1,3,0,36,2,94,100000
181,2,2,552,19,5,2,87,38,176,2,5,3,3,343,273,383,149,574,2,2,3,1,77,2,113,177000
182,3,3,712,17,6,2,13,1,61,1,1,1,3,299,248,408,247,559,0,1,8,1,3,1,55,200100
183,4,3,117,4,4,2,52,57,55,1,5,0,1,302,40,233,173,303,0,1,5,1,38,1,119,120000
184,4,1,706,5,6,2,96,42,61,1,5,3,3,302,401,428,129,553,2,2,4,0,85,2,171,200000
185,4,3,210,3,4,3,79,36,61,1,5,1,3,302,93,208,63,332,0,1,3,0,65,2,127,127000
186,3,1,1063,5,8,4,108,55,61,2,1,2,3,302,670,704,410,850,2,3,9,2,84,4,383,475000
187,3,3,537,11,6,2,94,36,61,1,5,3,3,328,261,358,173,273,2,2,4,0,75,2,139,173000
188,4,3,154,5,4,3,42,49,61,1,2,1,3,302,197,214,275,462,2,1,7,0,12,1,111,135000
189,2,3,259,12,4,2,58,23,56,1,2,3,3,241,417,179,173,269,1,1,4,2,42,2,87,153337
190,6,3,953,22,7,2,99,53,61,2,5,4,3,554,632,666,173,618,0,3,3,1,90,2,360,286000
191,3,3,985,17,7,3,98,54,61,2,2,3,4,540,649,687,379,784,2,2,10,2,83,2,113,315000
192,7,3,616,10,6,4,44,43,130,1,2,2,3,416,241,268,139,474,0,2,5,0,51,2,171,184000
193,4,3,668,16,6,2,86,46,61,2,5,3,3,273,413,388,173,447,2,2,4,0,74,2,401,192000
194,2,1,250,4,6,2,85,43,24,2,5,3,3,302,152,134,119,469,2,2,5,0,79,2,164,130000
195,4,3,211,16,4,3,44,7,61,1,2,2,3,185,89,88,173,99,0,1,3,0,69,1,34,127000
196,2,3,446,9,5,2,70,31,61,1,2,3,3,212,185,215,122,373,2,1,5,1,56,2,113,148500
197,4,3,981,19,6,2,103,56,207,3,5,4,3,577,646,685,173,781,2,3,7,1,89,4,369,311872
198,3,3,836,10,7,1,76,45,61,2,5,2,3,437,484,419,304,661,2,2,7,1,87,2,297,235000
199,3,1,72,5,5,2,15,1,61,1,2,2,3,302,41,44,20,63,0,1,7,0,2,0,12,104000
200,4,3,967,23,7,2,85,50,254,2,5,4,3,423,610,654,173,740,2,3,5,1,79,4,381,274900
201,4,1,311,4,3,2,96,43,61,1,5,3,3,302,144,171,173,230,2,1,3,0,85,2,113,140000
202,4,3,387,11,5,2,74,28,61,1,2,2,3,197,151,348,173,405,2,1,4,2,34,2,317,171500
203,4,3,170,5,5,2,4,1,61,1,1,1,3,39,49,64,94,224,2,1,4,0,5,1,124,112000
204,6,1,370,16,5,2,85,43,207,2,5,3,3,230,194,185,173,257,0,2,1,1,79,2,90,149000
205,4,1,99,5,4,3,14,1,61,1,2,2,3,112,59,37,35,89,0,1,3,0,23,1,54,110000
206,4,3,598,14,6,2,94,45,61,1,5,3,3,302,368,376,173,433,2,1,3,0,75,2,247,180500
207,4,3,343,6,4,2,50,20,61,1,2,2,3,302,53,196,173,259,0,1,7,1,29,1,213,143900
208,4,3,324,10,3,2,66,19,61,1,5,2,3,268,155,183,173,243,0,1,4,1,53,1,82,141000
209,7,3,936,12,6,2,84,44,181,2,2,3,3,532,615,511,356,746,2,1,5,1,73,2,272,277000
210,4,3,307,10,5,3,67,29,128,1,2,3,3,186,275,272,173,59,0,1,4,0,49,2,73,145000
211,0,3,59,4,4,2,23,1,61,1,2,2,3,27,89,88,173,99,0,1,3,0,2,0,12,98000
212,4,3,629,4,5,2,106,59,61,1,5,3,3,382,375,351,173,407,2,2,4,0,95,2,161,186000
213,7,2,846,19,6,2,106,59,61,1,5,3,3,308,422,441,328,681,2,2,5,1,95,2,312,252678
214,4,3,433,16,4,2,105,47,61,1,5,3,3,146,139,212,173,221,0,1,3,0,86,2,127,156000
215,7,3,471,16,5,3,74,28,48,1,2,3,3,327,235,292,248,244,0,1,4,0,61,1,79,161750
216,4,3,263,10,4,2,52,51,25,1,2,2,3,101,124,362,173,231,0,2,4,1,38,1,95,134450
217,4,3,573,16,6,2,85,43,123,2,5,3,3,452,295,583,173,586,2,2,7,0,79,2,171,210000
218,3,1,82,5,3,1,23,1,61,1,2,2,3,302,91,301,24,233,0,1,7,0,35,1,13,107000
219,4,3,980,17,6,4,53,57,191,2,2,2,3,555,511,608,377,780,0,2,7,2,63,2,266,311500
220,6,3,502,15,6,2,97,57,139,2,5,3,3,385,347,322,173,157,2,2,3,0,82,2,223,167240
221,4,3,732,16,6,2,102,57,61,2,5,3,3,302,539,504,173,540,2,2,3,0,94,2,236,204900
222,7,3,707,14,5,2,95,53,61,2,5,3,3,302,270,491,243,554,2,2,7,1,80,2,220,200000
223,7,3,354,13,5,2,60,34,61,1,2,3,3,430,359,156,180,541,2,1,4,1,68,2,242,179900
224,4,3,137,10,3,2,26,2,61,1,2,2,3,409,89,88,173,99,0,1,2,0,69,2,127,97000
225,4,3,1039,23,8,2,96,42,308,3,5,4,3,596,693,728,173,820,2,3,7,1,85,4,370,386250
226,2,1,68,2,4,2,26,2,11,1,2,2,3,302,25,29,76,199,2,1,4,0,66,1,21,112000
227,7,3,959,24,6,2,105,47,269,2,5,3,3,394,634,457,363,769,2,2,8,1,91,4,363,290000
228,2,1,78,2,5,2,33,16,7,1,2,2,3,26,29,33,36,51,0,1,3,0,59,1,21,106000
229,4,3,189,6,4,2,47,10,61,1,2,2,3,78,157,220,173,156,0,1,3,1,52,1,46,125000
230,6,3,561,15,6,2,97,57,139,2,5,3,3,385,379,414,173,477,2,2,5,1,82,2,227,192500
231,4,3,677,10,5,2,56,13,210,1,2,2,3,302,191,245,173,315,0,1,4,0,62,1,82,148000
232,7,3,1048,24,7,2,105,51,314,2,5,3,3,619,686,734,403,836,2,3,8,1,91,4,422,403000
233,2,1,68,2,5,2,44,7,5,1,2,2,3,302,29,33,36,51,0,1,3,1,51,1,37,94500
234,4,3,220,16,4,2,70,31,61,1,2,2,4,247,111,129,173,141,0,1,3,0,56,1,32,128200
235,7,3,774,14,5,2,95,53,215,2,5,3,3,349,463,404,274,403,2,2,7,2,80,2,113,216500
236,2,1,68,2,5,1,26,2,4,1,2,2,3,17,29,33,36,51,0,1,3,0,43,1,30,89500
237,4,3,574,16,6,2,85,43,55,2,5,3,3,436,391,400,173,455,2,2,4,0,79,2,189,185500
238,7,3,681,12,6,3,90,42,61,2,5,3,3,413,205,202,232,533,2,2,5,0,84,2,169,194500
239,4,3,991,23,7,2,103,56,284,3,5,4,3,302,624,673,173,705,2,2,5,0,89,4,395,318000
240,4,3,120,4,5,1,30,1,61,1,2,2,2,43,71,213,141,101,0,1,5,1,8,1,15,113000
241,4,2,422,19,7,2,110,58,242,2,5,3,3,537,581,637,173,724,2,2,5,0,96,2,303,262500
242,0,1,109,5,4,4,30,52,61,1,2,2,3,202,91,434,173,93,0,2,2,0,2,0,12,110500
243,4,1,61,5,4,1,12,1,61,1,1,2,3,302,8,9,176,186,0,1,4,0,35,1,34,79000
244,2,3,534,12,5,2,72,25,61,1,2,3,3,302,69,80,46,273,0,1,4,1,34,1,37,120000
245,7,3,734,12,6,2,100,53,61,2,5,3,3,418,168,436,250,633,2,2,7,2,93,2,153,205000
246,4,3,630,13,6,2,84,40,222,1,2,3,3,535,553,603,173,704,2,1,4,1,73,2,311,241500
247,1,1,288,5,5,3,11,1,61,1,3,1,3,302,134,160,175,409,2,0,8,0,9,1,113,137000
